STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYPrecip,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/1/2005 23:59,SOD,40,22,31,6.9,34,0,804,1714,0.01,29.44,,7.5,21
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/2/2005 23:59,SOD,51,31,41,17,24,0,804,1715,0.12,29.33,,7.9,20
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/3/2005 23:59,SOD,36,33,34,10.2,31,0,804,1716,0.28,29.32,,5.9,15
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/4/2005 23:59,SOD,35,31,33,9.3,32,0,804,1717,T,29.37,,5.7,17
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/5/2005 23:59,SOD,31,22,26,2.4,39,0,804,1718,0.11,29.26,,12.8,24
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/6/2005 23:59,SOD,26,18,22,-1.5,43,0,804,1719,0.15,28.89,,10.7,26
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/7/2005 23:59,SOD,26,12,19,-4.4,46,0,804,1720,0,29.27,,5.8,14
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/8/2005 23:59,SOD,30,25,28,4.7,37,0,803,1721,0.13,29.27,,4.8,15
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/9/2005 23:59,SOD,33,27,30,6.8,35,0,803,1722,0,29.31,,7.9,20
WBAN:94889,ANN ARBOR MUNICIPAL AIRPORT MI US,255.7,42.22278,-83.74444,1/10/2005 23:59,SOD,35,29,32,8.9,33,0,803,1723,T,29.22,,9.2,30
